source airport,source airport id,destination apirport,destination airport id,source city,destination city,airline name,plane model,capacity
JFK,3797,PAP,1897,New York,Port-au-prince,American Airlines,Boeing 767-300,148
JFK,3797,PHX,3462,New York,Phoenix,American Airlines,Airbus A321,192
JFK,3797,PIT,3570,New York,Pittsburgh,American Airlines,Embraer RJ145,0
JFK,3797,RDU,3626,New York,Raleigh-durham,American Airlines,Embraer RJ140,0
JFK,3797,RDU,3626,New York,Raleigh-durham,American Airlines,Canadair Regional Jet 700,0
JFK,3797,SAN,3731,New York,San Diego,American Airlines,Boeing 737-800,160
JFK,3797,SCL,2650,New York,Santiago,American Airlines,Boeing 787,0
JFK,3797,SEA,3577,New York,Seattle,American Airlines,Boeing 737-800,160
JFK,3797,SFO,3469,New York,San Francisco,American Airlines,Boeing 767-300,148
JFK,3797,SJO,1885,New York,San Jose,American Airlines,Boeing 737-800,160
JFK,3797,SJU,2890,New York,San Juan,American Airlines,Boeing 757,0
JFK,3797,STT,2883,New York,St. Thomas,American Airlines,Boeing 757,0
JFK,3797,SXM,2899,New York,Philipsburg,American Airlines,Boeing 757,0
JFK,3797,TPA,3646,New York,Tampa,American Airlines,Canadair Regional Jet 700,0
JFK,3797,TXL,351,New York,Berlin,American Airlines,Airbus A330,0
JFK,3797,YUL,146,New York,Montreal,American Airlines,Embraer RJ140,0
JFK,3797,YYC,178,New York,Calgary,American Airlines,Boeing 737,0
JFK,3797,YYZ,193,New York,Toronto,American Airlines,Canadair Regional Jet 700,0
JFK,3797,ZRH,1678,New York,Zurich,American Airlines,Boeing 767-300,148
LGA,3697,BNA,3690,New York,Nashville,American Airlines,Canadair Regional Jet 700,0
LGA,3697,BOS,3448,New York,Boston,American Airlines,Airbus A319,132
LGA,3697,BOS,3448,New York,Boston,American Airlines,Embraer 190,0
LGA,3697,CHO,4015,New York,Charlottesville VA,American Airlines,Embraer RJ140,0
LGA,3697,CLT,3876,New York,Charlotte,American Airlines,Airbus A321,192
LGA,3697,CLT,3876,New York,Charlotte,American Airlines,Airbus A319,132
LGA,3697,CLT,3876,New York,Charlotte,American Airlines,Airbus A320,158
LGA,3697,CMH,3759,New York,Columbus,American Airlines,Canadair Regional Jet 700,0
LGA,3697,CMH,3759,New York,Columbus,American Airlines,Embraer RJ140,0
LGA,3697,DAY,3627,New York,Dayton,American Airlines,Embraer RJ140,0
LGA,3697,DCA,3520,New York,Washington,American Airlines,Airbus A319,132
LGA,3697,DCA,3520,New York,Washington,American Airlines,Embraer 190,0
LGA,3697,DFW,3670,New York,Dallas-Fort Worth,American Airlines,Boeing 737-800,160
LGA,3697,DTW,3645,New York,Detroit,American Airlines,Canadair Regional Jet 700,0
LGA,3697,GSO,4008,New York,Greensboro,American Airlines,Embraer RJ140,0
LGA,3697,ILM,3845,New York,Wilmington,American Airlines,Embraer RJ140,0
LGA,3697,LIT,3660,New York,Little Rock,American Airlines,Canadair Regional Jet 700,0
LGA,3697,MIA,3576,New York,Miami,American Airlines,Boeing 737-800,160
LGA,3697,ORD,3830,New York,Chicago,American Airlines,Boeing 737-800,160
LGA,3697,ORF,3611,New York,Norfolk,American Airlines,Embraer RJ140,0
LGA,3697,PBI,3722,New York,West Palm Beach,American Airlines,Boeing 737-800,160
LGA,3697,PHL,3752,New York,Philadelphia,American Airlines,Embraer 190,0
LGA,3697,PHL,3752,New York,Philadelphia,American Airlines,De Havilland Canada DHC-8-300 Dash 8,0
LGA,3697,PHL,3752,New York,Philadelphia,American Airlines,Airbus A319,132
LGA,3697,PIT,3570,New York,Pittsburgh,American Airlines,Embraer 175,0
LGA,3697,RDU,3626,New York,Raleigh-durham,American Airlines,Embraer RJ140,0
LGA,3697,RDU,3626,New York,Raleigh-durham,American Airlines,Canadair Regional Jet 700,0
LGA,3697,RIC,3608,New York,Richmond,American Airlines,Embraer RJ140,0
LGA,3697,ROA,4016,New York,Roanoke VA,American Airlines,Embraer RJ140,0
LGA,3697,SDF,4014,New York,Louisville,American Airlines,Embraer RJ140,0
LGA,3697,STL,3678,New York,St. Louis,American Airlines,Canadair Regional Jet 700,0
LGA,3697,TYS,3676,New York,Knoxville,American Airlines,Embraer RJ140,0
LGA,3697,XNA,4356,New York,Bentonville,American Airlines,Canadair Regional Jet 700,0
LGA,3697,YUL,146,New York,Montreal,American Airlines,Embraer RJ140,0
LGA,3697,YYZ,193,New York,Toronto,American Airlines,Canadair Regional Jet 700,0
JFK,3797,DUS,345,New York,Duesseldorf,Air Berlin,Airbus A330-200,234
JFK,3797,TXL,351,New York,Berlin,Air Berlin,Airbus A330-200,234
LGA,3697,YUL,146,New York,Montreal,Air Canada,Embraer 175,0
LGA,3697,YYZ,193,New York,Toronto,Air Canada,Embraer 190,0
LGA,3697,YYZ,193,New York,Toronto,Air Canada,Embraer 175,0
JFK,3797,ATL,3682,New York,Atlanta,Air France,Airbus A319,132
